	BJ24L	BJ24S	KJ25L	KJ25S	KB14L	KB14S	KJ15L	KJ15S	BB24L	BB24S	BJ25L	BJ25S	KM14L	KM14S	KM15L	KM15S	BJ14L	BJ14S	KM25L	KM25S	BM24L	BM24S	BM15L	BM15S	BB14L	BB14S	KB15L	KB15S	KJ14L	KJ14S	BM25L	BM25S	KJ24L	KJ24S	BJ15L	BJ15S	BM14L	BM14S	BB15L	BB15S	KB24L	KB24S	KB25L	KB25S	KM24L	KM24S	BB25L	BB25S
GH141	12.234	24.23	5.104	31.217	39.928	49.826	13.952	36.95	23.408	24.144	9.803	17.455	17.733	28.806	15.25	16.068	11.338	16.232	18.734	16.843	17.877	12.702	14.149	22.341	26.167	20.893	65.433	37.609	13.642	22.143	16.205	9.367	10.829	24.271	11.801	21.889	21.36	22.414	20.65	9.49	20.052	25.636	38.202	15.577	11.579	22.674	12.419	50.717
GH142	2.427	12.129	2.796	9.649	25.653	22.951	2.796	19.683	17.063	12.745	7.326	7.306	14.219	15.764	4.391	2.122	3.885	12.008	2.955	4.788	7.384	9.102	8.42	5.901	8.687	9.52	29.315	8.605	10.692	4.38	9.595	8.904	5.951	5.489	3.043	11.627	8.114	10.386	9.382	5.397	14.298	19.9	16.653	6.673	7.709	7.086	6.651	25.316
"GH142,GH143"	0.693	0.511	0.411	1.56	5.331	1.515	1.446	0.88	0.491	1.805	0	0	3.337	1.476	0.571	0	0	0	0.747	0.834	1.634	0.576	2.782	1.8	0.99	1.023	11.472	5.014	1.14	0.494	1.905	0.797	0	0	2.25	0.906	0	0	1.756	0.864	3.49	1.411	6.893	0	0.271	0.443	0	3.296
"GH142,GH143,GH43"	0.523	0	0.226	0.233	3.299	1.134	0	0.261	0.851	1.127	0.313	0.208	1.658	0	0.358	0	0	0.262	0.64	0.167	0.481	0	0.835	0	0.736	0.794	2.758	1.115	0.807	0	0.653	0	0	0	0.517	1.013	0.329	0.316	1.635	0.235	2.273	0	3.92	0.935	0.299	0.437	0	1.71
GH143	4.308	10.909	1.273	7.96	10.369	10.781	6.066	14.378	6.105	3.679	6.547	6.833	5.349	3.611	3.064	8.031	4.328	8.297	3.776	3.157	2.303	5.829	3.008	10	6.927	8.895	22.878	11.932	6.371	2.8	8.731	9.951	4.407	2.428	1.322	9.155	7.302	10.677	10.283	5.876	13.72	9.658	9.446	2.354	4.68	4.054	2.903	14.502
"GH143,GH43"	0.546	0	0	1.627	2.61	1.428	1.317	0	0	1.396	0	0	0.716	1.189	1.11	0	0.278	0	2.471	0	0.455	0.533	0.281	0.534	0.359	0.989	2.421	0	1.548	0	0.583	0.355	0.334	0	0.705	1.308	0.332	0	2.721	1.379	2.665	1.099	2.481	0.829	0.936	0.639	1.306	3.131
GH144	5.173	13.595	4.302	11.145	8.784	14.092	10.977	9.955	5.842	14.089	6.402	4.673	14.598	7.532	15.176	3.958	11.522	14.309	5.899	5.566	8.46	10.701	9.294	5.716	31.227	21.357	11.014	8.403	12.181	6.454	4.28	4.896	10.824	19.078	16.213	7.323	13.908	15.108	10.024	4.093	7.012	13.326	10.336	5.594	10.95	14.132	12.298	15.388
GH145	0	0.831	1.419	2.829	0	2.553	0	4.977	2.05	6.303	1.581	2.732	2.106	7.192	3.867	1.272	0	4.936	3.748	4.261	1.149	2.248	0	2.129	0.927	1.273	2.224	5.158	0.801	0	0	3.266	0	2.863	0	3.69	1.315	1.929	0	2.211	0	2.413	0	0	5.114	2.173	1.063	3.982
GH146	45.26	80.867	29.648	118.374	62.193	88.546	91.595	99.961	53.382	76.065	56.582	92.961	87.973	120.261	60.786	83.885	33.93	43.088	64.568	126.763	78.676	80.235	64.231	132.123	85.36	80.25	80.43	48.506	55.435	78.178	76.707	92.652	50.941	62.276	60.2	108.226	72.901	72.034	25.93	21.196	72.831	67.488	46.066	31.406	69.851	100.018	44.954	60.399
GH147	0	0.763	0	0.967	0.816	0.938	0	0	0	2.256	0	1.253	0.625	0	0	0	0.651	0.711	0	0	2.476	0.925	0	0.547	0	3.782	0	1.678	1.041	0	0	0.238	0	0	0	1.732	1.09	0	0	1.679	0	1.824	1.107	0	0.496	0	0	1.908
GH148	3.733	18.067	6.606	2.882	6.449	5.381	8.439	12.108	11.365	12.11	2.358	13.235	12.276	14.641	17.32	5.867	7.035	4.766	5.811	10.519	9.53	8.312	0.903	6.489	14.488	24.516	11.296	7.217	9.838	11.975	7.042	9.695	9.227	2.072	6.955	8.333	14.172	20.827	3.042	3.589	10.134	3.818	11.178	0	17.144	17.51	5.255	9.169
GH149	3.962	0.504	0.812	0	1.539	0	0	0	4.353	2.269	0	0	1.794	0.9	1.2	0	0	0	1.073	0	0.823	0	3.032	0.601	0.481	0	1.736	0	0.179	0	0	0	1.806	0.435	0.217	0.415	0	0	2.563	0	1.993	0	0.958	0	2.308	0.249	0.772	3.102
GH15	1.936	2.199	0	1.34	0	4	0	4.633	0	3.269	0	0	3.949	1.737	2.27	2.14	1.951	0	2.164	0	1.291	0	0	0	4.256	7.862	0.534	0	3.894	1.094	4.541	2.751	0.869	3.196	0	1.047	1.603	0	1.107	1.795	2.478	2.848	0.664	0	1.479	1.087	0.421	1.085
GH151	1.878	4.51	4.801	3.761	5.923	0	9.536	3.385	3.688	0	3.371	5.098	3.121	2.681	0.615	1.425	2.907	0.867	2.713	0	1.211	4.874	0	0	4.553	1.548	2.007	4.728	1.97	4.98	0	8.99	2.328	2.069	0	0.935	8.182	0.732	3.273	0	3.225	1.363	3.051	2.103	7.82	4.146	2.129	7.92
GH153	0	0	0	5.493	0	0	0	0	0	2.411	0	0	0.531	0	1.61	0	0	0	2.108	0	0	0	0	0	0	2.723	0	0	1.15	0	0	0	0	0	0	0	0	2.023	0	1.83	0	3.334	0	0	0	0	0	0
GH154	31.718	55.299	6.061	46.515	71.365	64.536	22.158	49.428	35.385	57.888	51.573	43.564	54.936	50.773	38.199	59.122	15.665	21.583	42.755	54.163	42.211	43.712	42.662	49.652	49.411	46.307	89.461	61.072	52.746	37.521	48.333	37.61	28.264	30.877	35.116	59.605	39.72	41.692	31.215	21.287	69.472	41.815	44.682	18.884	40.593	42.437	13.911	83.191
"GH154,GH88"	0.963	2.449	0	4.36	3.632	5.252	2.861	3.753	2.483	5.337	0.752	0.976	2.953	2.69	1.727	3.677	0.461	0.909	0.634	1.491	2.915	1.966	4.017	3.924	2.202	2.742	6.362	4.056	1.836	4.396	1.351	4.757	1.322	2.194	1.024	3.097	2.01	3.234	2.676	1.296	6.422	3.189	4.517	0	3.12	4.682	1.68	5.887
GH156	0.602	0	0	0	0	1.192	0	0	0	0	0	1.92	0.52	1.752	1.171	0	0	0	0	1.151	0.776	0.962	0	0.911	0	0	1.987	0	1.45	0	0	0	0	0	0	0	0.842	1.416	0.421	0	0	0	0	0	1.031	0	0	0.559
GH158	1.796	1.085	0.747	0	0	2.547	0	0	0	1.086	0	2.299	2.499	0.999	0	0	0	3.554	0	3.693	0	0.538	3.39	1.679	1.788	1.15	0	8.601	0.518	0.727	4.316	0	0	1.54	0	0	0.542	1.017	2.532	0.681	1.262	0.958	1.031	0	0.95	2.298	0	1.441
GH159	0	0	0	0	0	0	0	5.844	0	0	0	3.005	3.189	6.888	5.587	1.703	0	0.525	0	5.295	0	4.594	0	5.49	0	0	0	0	4.584	0.871	1.206	1.041	0	1.939	0	2.993	0	1.722	1.522	0	0	1.052	0	0	4.248	0.865	0	0.863
GH16	85.804	129.403	51.291	178.842	96.91	138.6	127.756	148.339	71.509	169.546	118.444	142.934	144.004	194.749	91.205	158.319	69.473	77.72	68.141	201.149	146.536	143.039	97.441	174.988	129.015	149.023	104.943	215.365	122.705	147.065	129.429	161.74	105.568	182.09	100.305	149.619	144.002	137.55	67.194	65.931	110.808	148.066	92.748	98.064	115.555	138.118	83.891	156.92
"GH16,GH29"	0	1.589	0	0	0	0	0	0	0	0	0	0	0	0	0.323	0	0	0	0	0	0	2.364	0	0.746	0.685	1.969	0.608	0	0	0	0	0	0	0.685	0	0	0	0	0	0	0	0	0	0	0	0	0	0.617
"GH16,GH43"	0	0	0	0.413	0	0	0	0.924	0.479	0.581	0	0	0.533	1.069	0	0	0.694	2.778	0	0	0	0	0	0	0	0	0	1.729	0	0.778	0	0.62	0	0.856	0	1.289	0	0	0	0	0.605	0	0	0	0	1.546	0.599	0
"GH16,GT25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	1.594	2.723	0.485	0	0	0.833	0.516	0	0	0.897	0.967	0.796	0.679	1.742	0	0	0	2.427	2.241	0	0	0.608	0	0	0	0	0	0.494	0	0	0.405	0	0
GH161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.792	1.494	0.681	0	0	0	0	0	0	0	0	0	2.983	1.272	0.544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH163	28.675	31.203	19.733	43.505	44.257	38.406	29.672	27.206	26.774	34.364	38.222	39.972	53.963	27.47	21.106	17.23	20.04	8.738	21.263	27.065	40.294	28.345	29.864	29.727	46.873	30.879	35.663	33.825	37.16	25.626	27.257	26.828	41.203	30.038	29.175	33.163	50.45	20.314	14.202	15.567	43.436	52.027	36.06	14.608	39.042	41.652	23.455	38.592
GH164	0	1.045	1.262	0	0	0	0	0	0	0	0	0.772	0.56	0	0	0	0.729	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0.65	0	0	0	0.611	0	0	0	0	0	0	0	0	0	0	0
GH165	0	0	0	0	0.534	1.245	1.26	0	0	1.237	0	0	0	1.09	0.907	1.619	0	0	0	0	0.976	0	0	0.496	0.582	0	0.404	0	1.271	0.828	1.099	0.632	0.658	0	0	0	2.42	2.033	0	0	0.644	0	1.738	0	1.123	0	0	0
GH17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.512	0	2.597	0	0	0	0	0	1.842	0	0	0	1.423	0	0	0	0	0	0.579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH18	38.735	71.13	33.535	94.968	29.669	59.541	67.56	105.388	35.043	73.304	53.48	95.597	51.061	94.646	50.31	111.335	35.141	36.203	41.916	130.286	49.992	67.507	44.117	108.025	66.297	52.989	45.839	109.749	57.962	96.591	47.689	89.026	53.257	77.993	43.496	86.141	63.583	84.114	20.598	26.494	42.245	67.704	33.988	35.897	43.832	85.579	41.393	64.454
GH19	59.634	0	35.959	6.842	15.352	2.056	15.213	8.07	17.951	13.673	29.614	4.38	15.519	12.777	12.187	2.894	14.427	0.813	17.101	2.985	10.597	7.058	17.466	8.321	10.554	4.792	33.735	11.695	14.319	8.784	36.15	10.662	12.564	2.255	13.838	6.198	11.675	3.028	24.592	1.286	10.096	1.658	16.043	2.546	14.375	4.425	34.532	4.619
GH2	287.077	394.339	128.094	438.095	461.332	416.474	333.849	449.239	259.008	390.694	323.226	390.128	418.551	417.302	247.993	354.88	161.148	181.677	231.803	450.032	365.163	328.874	334.527	427.86	388.335	405.48	474.553	370.182	355.895	326.881	353.235	357.097	268.6	316.686	301.995	452.111	352.481	357.513	193.125	132.835	433.085	389.31	329.693	180.481	308.21	455.771	213.489	506.096
"GH2,GH43"	0	1.597	0.296	1.398	0.643	2.319	2.249	1.718	2.635	2.711	0	2.152	1.969	1.322	0.216	0	0	1.261	0	0.781	1.602	0.528	2.345	1.736	0.495	0.815	0.969	0.319	1.123	2.606	1.195	0.537	0.968	2.9	0	1.051	0.599	2.174	0	0.873	0	1.007	0.506	0	0.37	1.023	0.558	2.199
"GH2,GH5"	0.188	0.909	0	1.509	0.795	0	1.264	0.704	0.292	0.532	0	0.224	1.137	0.326	0.738	1.392	0	0.565	0.322	0.36	0.485	0.601	0.6	0.996	1.305	1.126	1.042	0.527	0.169	0.712	0	0.567	1.319	0.261	0	0.589	1.239	0.744	0.263	0	0.922	0.573	0.863	0.221	0.322	0.236	0.183	0.705
"GH2,GH53"	0.284	0.457	0	0.379	1.2	0	0	0	0.44	0	0	0	2.45	0	0	0	0	0	0	0	0.732	0	0	0	0.525	0	0	0	0.51	0	0.496	0	0	0	0	0	0.267	0	0	0	1.67	0	0.868	0.667	0	0.355	0	0
GH20	112.936	120.713	74.554	214.346	135.724	232.402	185.027	204.973	107.294	205.962	161.885	187.865	171.083	232.259	116.994	127.84	84.334	104.32	110.735	189.933	114.66	162.929	127.213	232.311	211.466	262.485	131.391	140.436	152.457	155.085	140.227	179.052	122.859	158.862	158.891	220.601	190.817	209.488	64.172	58.306	145.858	193.494	116.765	103.511	126.501	172.725	127.47	203.941
GH22	0	0	0	0	0	0	0	0	0	3.678	0	0	0	0	0	0	0	5.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.837	0	0	0	0	0	0	4.586	0	0	0	0
GH23	129.653	177.014	122.235	218.017	205.502	203.698	210.922	253.289	201.995	266.15	167.337	161.095	209.471	238.531	145.801	136.934	128.742	119.053	154.924	168.262	168.819	227.401	186.718	230.008	203.397	263.242	195.133	168.15	198.119	172.761	179.902	179.076	176.312	194.764	167.023	234.965	196.201	194.009	132.24	102.276	202.175	220.136	169.961	109.686	178.826	219.908	163.617	210.995
GH24	100.062	30.778	263.735	35.083	89.694	36.001	101.965	46.103	160.958	44.165	149.317	33.933	83.356	28.959	81.358	43.024	65.979	12.113	132.876	55.777	105.658	30.334	204.581	46.978	80.536	29.578	58.442	50.795	140.867	56.262	209.709	62.669	154.488	37.128	133.036	51.053	113.105	41.197	110.069	23.77	191.492	44.209	87.997	10.3	166.656	55.95	230.814	31.555
"GH24,GH25"	0	0	0	0.434	0.457	8.348	0	5.343	1.006	1.223	0	0	0.28	0	0	0	0	0	0	0	0.836	1.036	0	0	0	0	0.4	0	0	0	0	0.978	0	0	0.449	0	0	0.77	0.907	0	0.318	2.224	2.482	1.524	0	0.406	0	26.765
GH25	412.722	285.568	485.982	222.419	303.829	249.129	345.417	231.053	346.805	250.549	372.896	313.527	330.114	277.351	324.821	227.591	186.873	120.043	348.924	339.689	341.384	254.739	389.803	258.796	294.866	272.122	329.539	282.258	308.298	258.376	320.208	286.272	400.181	244.358	398.891	309.341	372.231	279.214	271.394	121.404	367.304	255.426	306.065	161.207	370.485	306.301	429.703	267.701
GH26	203.334	186.152	103.539	242.691	200.194	198.826	140.227	224.687	154.022	187.886	195.756	195.366	226.456	171.287	122.715	156.427	88.595	109.12	127.859	279.746	201.839	175.338	167.709	245.256	205.762	176.185	284.573	279.592	194.231	139.764	169.751	155.073	158.887	165.525	171.87	230.835	157.051	153.991	98.613	65.127	203.898	193.774	179.313	117.985	155.86	179.472	133.075	250.729
"GH26,GH5"	4.631	1.938	2.415	0.448	1.513	0	1.108	0.614	2.628	2.011	4.521	0	2.041	0	1.096	1.502	0.824	0.616	2.689	0	0.864	0	1.167	0	0.62	0.819	2.927	0	1.796	0	1.463	0	3.263	1.138	2.301	0.985	2.221	0.649	1.683	0	0.974	0	4.946	0	0.913	1.867	2.683	4.283
GH27	40.486	36.221	11.015	48.526	32.321	31.69	56.237	48.431	22.951	54.104	42.243	30.177	40.757	64.134	23.599	35.96	20.499	18.568	21.677	44.049	39.289	42.078	31.447	41.152	44.178	54.132	34.124	43.837	34.675	35.833	20.411	38.707	28.157	28.063	30.548	34.766	40.561	58.576	14.079	16.446	38.372	40.743	24.785	16.523	35.862	40.473	38.353	60.593
GH28	218.989	252.825	86.067	252.59	364.777	307.571	212.569	274.004	216.693	243.973	205.427	239.294	316.066	275.864	161.418	138.138	70.569	117.062	182.15	222.604	207.034	185.257	231.889	247.321	273.709	247.204	488.893	251.305	230.17	161.754	262.895	199.147	187.23	183.943	180.274	249.871	227.761	207.148	155.277	111.877	347.697	226.023	268.697	117.081	173.211	231.809	149.466	387.209
"GH28,GH43"	1.749	2.172	1.287	4.957	3.09	3.566	1.315	1.06	3.326	4.346	1.462	1.65	2.45	2.704	1.762	3.009	1.526	0.846	2.982	0.525	5.42	1.315	6.062	1.464	3.336	0	1.921	0.79	3.764	0.862	2.824	2.864	1.76	2.26	0.83	1.565	1.009	0.868	1.935	0	3.503	1.738	4.38	0	3.752	0.669	1.81	1.482
"GH28,GH88"	0.194	3.916	0.895	1.821	1.668	2.222	0.934	1.456	0.302	4.582	1.616	0.926	1.289	2.023	1.527	0.96	0.675	0.584	1	2.231	2.153	2.641	0.31	3.532	2.896	3.705	0.849	2.044	0.93	0.981	1.019	0.978	0.292	0.54	0.953	3.861	0.549	2.461	0.839	0.46	1.266	2.829	0.757	0.457	0.333	2.326	0	1.338
GH29	129.281	192.988	94.905	187.699	152.697	182.908	133.151	200.719	113.193	185.998	142.505	191.621	191.007	247.038	112.968	134.334	95.597	125.444	91.022	171.056	149.91	154.527	152.305	223.663	214.509	213.984	152.193	140.696	175.073	155.206	176.079	209.129	125.847	174.788	122.784	184.901	198.438	188.36	79.33	68.97	162.456	196.003	136.349	83.731	150.288	191.661	106.928	213.933
"GH29,GH79"	0	0	0	0	0.652	0	0	0	0.718	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369	0	0	0	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.708	0	0.198	0	0	0.289
GH3	593.38	770.605	302.285	1009.645	705.092	983.825	743.893	1113.472	543.441	856.451	636.007	1094.326	833.951	964.838	620.807	777.549	410.878	478.451	489.958	992.529	707.149	760.149	601.919	1021.256	903.723	966.433	687.671	918.673	741.776	807.936	683.656	859.825	549.499	747.129	609.118	1021.021	701.049	813.444	348.186	273.601	739.543	841.708	513.782	404.893	643.216	911.276	459.234	994.239
"GH3,GH5"	0	3.545	0	0	0	1.674	0	2.873	0	2.478	0.53	3.018	0	0.768	0	0	0	0.766	0	0	1.038	0.472	0	0.386	0.273	4.822	0	0.827	0	0	0	1.997	0.444	0.41	0.706	0.533	0	0	0	0.349	0	1.227	0	0.347	0	1.379	0	2.735
"GH3,GH78"	0.21	0.677	0.272	1.545	0	0.832	0.202	1.73	0	1.385	0	2.5	0.363	4.005	0.412	0.777	0	0	0	1.004	0.542	1.845	0	0.953	0.194	0.419	0.259	1.177	0.189	0.927	0.734	1.372	0.21	0	0	0.439	0.395	0.997	0	0	0	0	0	0	0	0.395	0.612	1.576
GH30	80.155	117.623	42.938	127.198	76.849	158.886	116.55	158.969	61.973	118.505	82.698	122.952	127.322	135.89	84.304	129.982	61.799	52.356	60.436	225.116	110.477	105.46	75.399	158.887	121.035	154.779	89.681	184.727	95.039	135.999	103.724	145.414	63.178	127.549	82.631	143.757	94.206	136.867	34.875	46.231	75.391	127.411	53.807	62.646	105.336	158.848	58.374	126.451
GH31	195.236	261.607	88.2	294.903	262.355	299.362	206.507	316.756	169.283	284.465	188.627	273.194	283.109	343.558	190.559	229.569	111.216	136.86	140.58	337.893	241.533	220.991	180.063	303.108	273.82	293.592	323.837	281.935	249.632	229.898	239.993	251.501	187.871	231.108	193.805	310.377	234.848	231.027	102.098	91.975	287.294	286.307	175.449	107.932	207.175	333.618	138.692	298.764
GH32	76.438	121.911	18.262	133.168	102.357	143.239	68.545	123.232	61.048	99.345	49.572	135.261	87.264	106.461	70.244	119.395	33.091	67.119	52.845	125.581	70.546	75.091	57.163	128.676	81.921	89.763	138.391	112.342	74.937	95.68	77.974	89.74	41.221	104.922	68.736	122.74	65.977	90.264	46.758	39.823	93.867	95.715	61.517	41.603	71.065	117.866	42.263	146.587
GH33	26.398	76.866	30.945	73.452	67.255	77.383	61.651	71.216	47.363	66.406	36.952	66.853	71.406	75.385	37.728	32.328	35.161	45.476	36.697	52.057	49.94	90.825	43.594	65.612	76.139	123.012	66.916	47.266	43.542	56.557	66.406	52.05	46.865	67.122	42.954	61.355	63.456	61.732	33.309	33.259	48.945	99.149	69.937	35.118	58.654	64.716	33.31	89.999
"GH33,GH78"	1.633	2.206	0	3.804	5.749	6.709	2.806	4.246	2.551	3.3	0.411	1.367	1.477	3.339	1.5	6.378	0	0.633	0.94	1.594	1.073	0.804	2.002	3.34	1.676	0.948	6.92	4.446	2.014	2.386	1.523	1.846	1.875	1.647	0.318	3.105	0.461	3.748	2.577	1.315	2.768	1.262	3.846	4.253	1.217	2.088	0.491	9.381
GH35	63.463	105.069	32.817	94.984	175.854	127.215	66.829	109.095	99.306	105.207	80.588	75.021	139.343	119.41	70.317	70.967	37.603	57.298	78.016	91.806	112.739	78.477	108.047	98.586	99.055	117.55	189.559	119.341	106.485	87.764	130.366	92.784	99.874	67.028	87.054	105.333	126.39	83.347	69.946	44.801	164.181	109.571	115.076	32.332	88.238	108.61	60.57	148.413
GH36	71.756	75.795	33.543	78.055	106.723	108.088	54.694	97.141	48.324	79.764	53.379	100.759	100.489	71.28	59.47	58.414	32.33	40.547	64.351	71.285	85.359	66.832	71.612	103.721	111.518	74.218	101.432	63.733	74.208	55.586	70.994	71.905	60.973	63.968	53.88	108.221	83.678	78.473	35.955	27.397	87.602	72.844	58.498	35.97	62.664	59.933	51.044	136.306
GH37	0.935	0	1.821	3.051	0	5.973	4.421	3.697	0	7.687	0	0.845	0.619	1.809	0.743	0.7	1.602	4.893	1.788	5.573	0.462	0	0.905	1.084	0.657	2.882	2.267	1.787	2.152	3.551	1.635	2.152	1.855	1.575	0	2.459	0.334	4.051	0	1.299	0	2.126	1.432	3.367	0.486	5.82	4.102	1.745
GH38	13.67	23.044	8.671	18.991	9.046	16.249	18.902	12.418	15.062	14.192	9.249	16.945	18.036	32.742	14.734	39.573	15.202	1.194	8.648	18.232	10.024	16.205	11.477	21.896	29.46	12.492	11.031	32.506	18.312	10.983	8.08	16.033	16.33	20.436	6.424	18.05	12.567	21.764	11.408	6.231	7.92	16.547	8.884	8.071	19.23	25.002	8.622	14.906
GH39	14.535	11.833	11.102	15.664	23.741	24.533	21.223	12.106	19.169	18.562	14.402	19.174	28.174	25.374	20.619	23.089	15.139	14.367	10.018	21.652	14.39	31.429	13.847	20.762	22.336	26.165	20.553	15.438	18.324	16.663	21.481	20.656	17.29	18.071	3.892	15.036	21.623	24.457	13.875	4.26	11.341	17.062	21.284	5.052	21.69	18.485	19.794	22.103
GH4	2.186	5.157	3.142	10.705	5.808	3.29	5.934	13.424	6.411	8.029	5.464	16.816	7.091	14.62	12.07	3.916	4.274	0.994	8.647	5.457	12.399	10.202	3.573	9.419	7.785	11.285	4.459	8.907	9.306	6.462	3.594	7.39	7.383	5.153	6.689	5.6	7.272	9.494	4.345	4.841	5.136	5.887	4.264	0	0.794	1.377	5.795	4.853
GH42	1.278	3.986	5.028	13.167	2.439	3.079	1.009	3.711	1.171	8.203	0	12.435	1.44	6.382	0.428	1.953	3.026	1.621	7.4	6.542	9.046	2.44	3.2	1.241	4.182	2.151	1.801	5.861	4.664	3.47	3.519	6.325	2.274	1.659	1.934	5.463	4.621	5.526	0	2.078	6.84	3.66	2.434	4.582	3.255	3.329	2.205	8.988
GH43	758.454	1196.267	352.092	1410.862	1133.208	1371.329	969.595	1415.467	729.908	1155.072	881.457	1327.922	1372.989	1486.752	865.259	1126.609	567.925	672.509	764.871	1589.161	1165.511	1152.868	1014.173	1588.439	1143.161	1227.708	1279.81	1418.996	1100.26	1058.336	1021.377	1243.352	771.308	989.987	798.23	1427.616	1031.42	1184.637	515.231	371.658	1160.385	1234.483	782.159	528.13	956.37	1387.567	547.247	1458.547
"GH43,GH5"	0.37	4.225	0	4.688	0	1.467	1.489	2.567	2.319	6.047	1.335	4.41	0.523	6.203	1.22	3.339	1.047	2.783	0.635	0.805	1.717	2.059	0	2.877	1.761	4.052	1.172	4.684	1.209	3.367	0.735	0.74	1.105	1.815	1.025	6.198	3.053	4.832	0	1.432	0.363	5.637	1.211	0.435	1.441	4.525	0.72	3.315
"GH43,GH51"	0.404	0.313	0.524	0	2.78	0.415	0.805	0	1.078	0	1.93	0	0.349	0	0.274	0	0.236	0	0.692	0	0.52	0	1.263	0	0.374	0.837	3.425	0.272	0.363	0	2.795	0.316	0.21	0	0.424	0.219	0.38	0	0.711	0	4.036	1.414	1.259	0	0.525	0	0	0.524
"GH43,GH53"	0.548	0	1.423	0.245	0.258	0.724	0.702	0	0.284	0	0	0	0.474	0.317	0.957	0	0	0	1.253	0	0.472	0	0.583	0	0.677	0	0	0	0.329	0	1.917	0	0	0	0.506	0.573	0.689	0	0	0	1.614	0	0.56	0	0.157	0.229	0.355	0
"GH43,GH95"	0	0.831	0	1.379	0	1.021	0	1.158	0	0	0.231	1.688	0	0.224	0.337	0.636	0	1.742	0	0.493	0	0.206	1.233	0.39	0.477	1.544	0.318	0	0	0	0	0.13	0.258	0.358	0.357	0.539	0	0	0	0	0	0.786	0	0	0	0	0	0.645
"GH43,PL10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GH43,PL3"	0.471	1.519	0.612	0	0	0.934	0	0	0	0	0	0.561	0	0	0	4.655	0	0	0	2.706	0	0	0	2.141	0	0.942	0.581	7.932	0	0	0	3.556	0	1.964	0	0.493	0	0	0	0.279	0	0	1.444	5.542	0	0	0	0.295
GH44	1.061	3.003	3.688	8.514	4.338	3.931	5.891	5.633	0.795	4.969	0.46	4.434	2.892	1.471	3.59	7.967	2.15	2.056	1.886	8.526	2.168	2.441	2.126	7.321	4.089	6.07	4.158	3.96	2.796	4.459	5.545	5.073	2.372	6.338	2.335	4.41	3.949	9.094	2.712	1.981	1.079	2.13	0.784	2.135	3.754	3.669	5.044	6.368
GH45	17.861	34.533	16.921	61.851	11.57	20.649	53.562	55.211	6.778	55.877	7.561	48.266	20.224	37.233	17.113	94.156	27.158	11.395	16.625	215.713	18.599	19.588	11.808	74.062	39.532	21.354	10.967	228.041	17.369	44.978	27.963	95.838	13.225	76.41	8.009	42.634	23.901	34.49	10.725	28.176	5.892	24.353	30.44	59.463	22.316	27.244	26.297	26.777
GH46	0	0	0	0	0	0	0	0	0	0	0	0	1.616	0	0	0	0	0	0	0	0	0	2.983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH48	0	1.236	0	1.768	0	0	2.683	1.671	2.367	0	0.749	3.684	0.721	2.158	0	0	1.256	0.615	0	1.566	0.901	0	2.745	1.239	1.871	2.018	1.365	2.138	2.613	0.527	3.395	0.412	0.41	0	0.578	1.92	0	0.648	0.584	1.794	0.41	0	0	0	1.463	0.769	0.406	0.512
GH5	282.527	379.77	177.227	554.329	420.276	524.13	436.023	595.258	255.799	501.07	257.715	501.39	443.988	564.525	288.503	647.88	239.367	239.348	254.293	816.479	417.188	420.096	302.004	707.472	436.479	476.049	532.924	909.105	430.962	426.826	386.335	565.363	305.092	538.038	318.863	542.929	372.299	459.354	213.956	195.725	424.909	441.272	361.236	285.235	349.127	491.016	263.29	514.223
"GH5,GH92"	3.523	5.842	1.143	4.553	10.254	5.004	2.955	8.388	4.787	4.562	2.966	3.663	4.664	5.139	1.439	3.795	0.866	2.804	2.266	1.679	4.11	4.564	2.811	3.336	6.116	7.459	18.603	7.401	4.753	2.773	6.157	4.532	2.54	2.899	4.574	6.549	2.49	1.042	5.55	3.64	11.028	7.875	10.286	3.878	2.075	2.482	2.351	15.407
GH50	4.509	1.523	3.108	1.61	3.677	1.546	0.9	1.628	2.504	2.704	3.048	0.929	6.469	2.432	0.934	1.156	2.364	1.172	4.529	1.462	2.243	0	2.912	2.9	9.322	1.61	4.469	0	2.904	0	5.72	2.534	8.179	2.836	6.657	1.237	4.493	0.741	3.353	0	5.119	0	6.621	0	1.296	0.55	2.015	2.208
