Names	Feed	Collection	Breed	Fraction	Group.Fc	Group.Fb	Group.Fp	Group.Cb	Group.Cp	Group.Bp	Group.Fcb	Group.Fcp	Group.Cbp	Group.all	BarPlot
BJ23S	Jowar	Collection-3	Bikaneri	Solid	Jowar3	JowarBikaneri	JowarSolid	3Bikaneri	3Solid	BikaneriSolid	Jowar3Bikaneri	Jowar3Solid	3BikaneriSolid	Jowar3BikaneriSolid	3B2
BJ24L	Jowar	Collection-4	Bikaneri	Liquid	Jowar4	JowarBikaneri	JowarLiquid	4Bikaneri	4Liquid	BikaneriLiquid	Jowar4Bikaneri	Jowar4Liquid	4BikaneriLiquid	Jowar4BikaneriLiquid	4B2
BJ24S	Jowar	Collection-4	Bikaneri	Solid	Jowar4	JowarBikaneri	JowarSolid	4Bikaneri	4Solid	BikaneriSolid	Jowar4Bikaneri	Jowar4Solid	4BikaneriSolid	Jowar4BikaneriSolid	4B2
BJ25L	Jowar	Collection-5	Bikaneri	Liquid	Jowar5	JowarBikaneri	JowarLiquid	5Bikaneri	5Liquid	BikaneriLiquid	Jowar5Bikaneri	Jowar5Liquid	5BikaneriLiquid	Jowar5BikaneriLiquid	5B2
BJ25S	Jowar	Collection-5	Bikaneri	Solid	Jowar5	JowarBikaneri	JowarSolid	5Bikaneri	5Solid	BikaneriSolid	Jowar5Bikaneri	Jowar5Solid	5BikaneriSolid	Jowar5BikaneriSolid	5B2
BM11L	Makai	Collection-1	Bikaneri	Liquid	Makai1	MakaiBikaneri	MakaiLiquid	1Bikaneri	1Liquid	BikaneriLiquid	Makai1Bikaneri	Makai1Liquid	1BikaneriLiquid	Makai1BikaneriLiquid	1B1
BM11S	Makai	Collection-1	Bikaneri	Solid	Makai1	MakaiBikaneri	MakaiSolid	1Bikaneri	1Solid	BikaneriSolid	Makai1Bikaneri	Makai1Solid	1BikaneriSolid	Makai1BikaneriSolid	1B1
BM12L	Makai	Collection-2	Bikaneri	Liquid	Makai2	MakaiBikaneri	MakaiLiquid	2Bikaneri	2Liquid	BikaneriLiquid	Makai2Bikaneri	Makai2Liquid	2BikaneriLiquid	Makai2BikaneriLiquid	2B1
BM12S	Makai	Collection-2	Bikaneri	Solid	Makai2	MakaiBikaneri	MakaiSolid	2Bikaneri	2Solid	BikaneriSolid	Makai2Bikaneri	Makai2Solid	2BikaneriSolid	Makai2BikaneriSolid	2B1
BM13L	Makai	Collection-3	Bikaneri	Liquid	Makai3	MakaiBikaneri	MakaiLiquid	3Bikaneri	3Liquid	BikaneriLiquid	Makai3Bikaneri	Makai3Liquid	3BikaneriLiquid	Makai3BikaneriLiquid	3B1
BM13S	Makai	Collection-3	Bikaneri	Solid	Makai3	MakaiBikaneri	MakaiSolid	3Bikaneri	3Solid	BikaneriSolid	Makai3Bikaneri	Makai3Solid	3BikaneriSolid	Makai3BikaneriSolid	3B1
BM14L	Makai	Collection-4	Bikaneri	Liquid	Makai4	MakaiBikaneri	MakaiLiquid	4Bikaneri	4Liquid	BikaneriLiquid	Makai4Bikaneri	Makai4Liquid	4BikaneriLiquid	Makai4BikaneriLiquid	4B1
BM14S	Makai	Collection-4	Bikaneri	Solid	Makai4	MakaiBikaneri	MakaiSolid	4Bikaneri	4Solid	BikaneriSolid	Makai4Bikaneri	Makai4Solid	4BikaneriSolid	Makai4BikaneriSolid	4B1
BM15L	Makai	Collection-5	Bikaneri	Liquid	Makai5	MakaiBikaneri	MakaiLiquid	5Bikaneri	5Liquid	BikaneriLiquid	Makai5Bikaneri	Makai5Liquid	5BikaneriLiquid	Makai5BikaneriLiquid	5B1
BM15S	Makai	Collection-5	Bikaneri	Solid	Makai5	MakaiBikaneri	MakaiSolid	5Bikaneri	5Solid	BikaneriSolid	Makai5Bikaneri	Makai5Solid	5BikaneriSolid	Makai5BikaneriSolid	5B1
BM21L	Makai	Collection-1	Bikaneri	Liquid	Makai1	MakaiBikaneri	MakaiLiquid	1Bikaneri	1Liquid	BikaneriLiquid	Makai1Bikaneri	Makai1Liquid	1BikaneriLiquid	Makai1BikaneriLiquid	1B2
BM21S	Makai	Collection-1	Bikaneri	Solid	Makai1	MakaiBikaneri	MakaiSolid	1Bikaneri	1Solid	BikaneriSolid	Makai1Bikaneri	Makai1Solid	1BikaneriSolid	Makai1BikaneriSolid	1B2
BM22L	Makai	Collection-2	Bikaneri	Liquid	Makai2	MakaiBikaneri	MakaiLiquid	2Bikaneri	2Liquid	BikaneriLiquid	Makai2Bikaneri	Makai2Liquid	2BikaneriLiquid	Makai2BikaneriLiquid	2B2
BM22S	Makai	Collection-2	Bikaneri	Solid	Makai2	MakaiBikaneri	MakaiSolid	2Bikaneri	2Solid	BikaneriSolid	Makai2Bikaneri	Makai2Solid	2BikaneriSolid	Makai2BikaneriSolid	2B2
BM23L	Makai	Collection-3	Bikaneri	Liquid	Makai3	MakaiBikaneri	MakaiLiquid	3Bikaneri	3Liquid	BikaneriLiquid	Makai3Bikaneri	Makai3Liquid	3BikaneriLiquid	Makai3BikaneriLiquid	3B2
BM23S	Makai	Collection-3	Bikaneri	Solid	Makai3	MakaiBikaneri	MakaiSolid	3Bikaneri	3Solid	BikaneriSolid	Makai3Bikaneri	Makai3Solid	3BikaneriSolid	Makai3BikaneriSolid	3B2
BM24L	Makai	Collection-4	Bikaneri	Liquid	Makai4	MakaiBikaneri	MakaiLiquid	4Bikaneri	4Liquid	BikaneriLiquid	Makai4Bikaneri	Makai4Liquid	4BikaneriLiquid	Makai4BikaneriLiquid	4B2
BM24S	Makai	Collection-4	Bikaneri	Solid	Makai4	MakaiBikaneri	MakaiSolid	4Bikaneri	4Solid	BikaneriSolid	Makai4Bikaneri	Makai4Solid	4BikaneriSolid	Makai4BikaneriSolid	4B2
BM25L	Makai	Collection-5	Bikaneri	Liquid	Makai5	MakaiBikaneri	MakaiLiquid	5Bikaneri	5Liquid	BikaneriLiquid	Makai5Bikaneri	Makai5Liquid	5BikaneriLiquid	Makai5BikaneriLiquid	5B2
BM25S	Makai	Collection-5	Bikaneri	Solid	Makai5	MakaiBikaneri	MakaiSolid	5Bikaneri	5Solid	BikaneriSolid	Makai5Bikaneri	Makai5Solid	5BikaneriSolid	Makai5BikaneriSolid	5B2
KB11L	Bajra	Collection-1	Kachchhi	Liquid	Bajra1	BajraKachchhi	BajraLiquid	1Kachchhi	1Liquid	KachchhiLiquid	Bajra1Kachchhi	Bajra1Liquid	1KachchhiLiquid	Bajra1KachchhiLiquid	1K1
KB11S	Bajra	Collection-1	Kachchhi	Solid	Bajra1	BajraKachchhi	BajraSolid	1Kachchhi	1Solid	KachchhiSolid	Bajra1Kachchhi	Bajra1Solid	1KachchhiSolid	Bajra1KachchhiSolid	1K1
KB12L	Bajra	Collection-2	Kachchhi	Liquid	Bajra2	BajraKachchhi	BajraLiquid	2Kachchhi	2Liquid	KachchhiLiquid	Bajra2Kachchhi	Bajra2Liquid	2KachchhiLiquid	Bajra2KachchhiLiquid	2K1
KB12S	Bajra	Collection-2	Kachchhi	Solid	Bajra2	BajraKachchhi	BajraSolid	2Kachchhi	2Solid	KachchhiSolid	Bajra2Kachchhi	Bajra2Solid	2KachchhiSolid	Bajra2KachchhiSolid	2K1
KB13L	Bajra	Collection-3	Kachchhi	Liquid	Bajra3	BajraKachchhi	BajraLiquid	3Kachchhi	3Liquid	KachchhiLiquid	Bajra3Kachchhi	Bajra3Liquid	3KachchhiLiquid	Bajra3KachchhiLiquid	3K1
KB13S	Bajra	Collection-3	Kachchhi	Solid	Bajra3	BajraKachchhi	BajraSolid	3Kachchhi	3Solid	KachchhiSolid	Bajra3Kachchhi	Bajra3Solid	3KachchhiSolid	Bajra3KachchhiSolid	3K1
KB14L	Bajra	Collection-4	Kachchhi	Liquid	Bajra4	BajraKachchhi	BajraLiquid	4Kachchhi	4Liquid	KachchhiLiquid	Bajra4Kachchhi	Bajra4Liquid	4KachchhiLiquid	Bajra4KachchhiLiquid	4K1
KB14S	Bajra	Collection-4	Kachchhi	Solid	Bajra4	BajraKachchhi	BajraSolid	4Kachchhi	4Solid	KachchhiSolid	Bajra4Kachchhi	Bajra4Solid	4KachchhiSolid	Bajra4KachchhiSolid	4K1
KB15L	Bajra	Collection-5	Kachchhi	Liquid	Bajra5	BajraKachchhi	BajraLiquid	5Kachchhi	5Liquid	KachchhiLiquid	Bajra5Kachchhi	Bajra5Liquid	5KachchhiLiquid	Bajra5KachchhiLiquid	5K1
