Names	Feed	Collection	Breed	Fraction	Group.Fc	Group.Fb	Group.Fp	Group.Cb	Group.Cp	Group.Bp	Group.Fcb	Group.Fcp	Group.Cbp	Group.all	BarPlot
KM15L	Makai	Collection-5	Kachchhi	Liquid	Makai5	MakaiKachchhi	MakaiLiquid	5Kachchhi	5Liquid	KachchhiLiquid	Makai5Kachchhi	Makai5Liquid	5KachchhiLiquid	Makai5KachchhiLiquid	5K1
KM15S	Makai	Collection-5	Kachchhi	Solid	Makai5	MakaiKachchhi	MakaiSolid	5Kachchhi	5Solid	KachchhiSolid	Makai5Kachchhi	Makai5Solid	5KachchhiSolid	Makai5KachchhiSolid	5K1
KM21L	Makai	Collection-1	Kachchhi	Liquid	Makai1	MakaiKachchhi	MakaiLiquid	1Kachchhi	1Liquid	KachchhiLiquid	Makai1Kachchhi	Makai1Liquid	1KachchhiLiquid	Makai1KachchhiLiquid	1K2
KM21S	Makai	Collection-1	Kachchhi	Solid	Makai1	MakaiKachchhi	MakaiSolid	1Kachchhi	1Solid	KachchhiSolid	Makai1Kachchhi	Makai1Solid	1KachchhiSolid	Makai1KachchhiSolid	1K2
KM22L	Makai	Collection-2	Kachchhi	Liquid	Makai2	MakaiKachchhi	MakaiLiquid	2Kachchhi	2Liquid	KachchhiLiquid	Makai2Kachchhi	Makai2Liquid	2KachchhiLiquid	Makai2KachchhiLiquid	2K2
KM22S	Makai	Collection-2	Kachchhi	Solid	Makai2	MakaiKachchhi	MakaiSolid	2Kachchhi	2Solid	KachchhiSolid	Makai2Kachchhi	Makai2Solid	2KachchhiSolid	Makai2KachchhiSolid	2K2
KM23L	Makai	Collection-3	Kachchhi	Liquid	Makai3	MakaiKachchhi	MakaiLiquid	3Kachchhi	3Liquid	KachchhiLiquid	Makai3Kachchhi	Makai3Liquid	3KachchhiLiquid	Makai3KachchhiLiquid	3K2
KM23S	Makai	Collection-3	Kachchhi	Solid	Makai3	MakaiKachchhi	MakaiSolid	3Kachchhi	3Solid	KachchhiSolid	Makai3Kachchhi	Makai3Solid	3KachchhiSolid	Makai3KachchhiSolid	3K2
KM24L	Makai	Collection-4	Kachchhi	Liquid	Makai4	MakaiKachchhi	MakaiLiquid	4Kachchhi	4Liquid	KachchhiLiquid	Makai4Kachchhi	Makai4Liquid	4KachchhiLiquid	Makai4KachchhiLiquid	4K2
KM24S	Makai	Collection-4	Kachchhi	Solid	Makai4	MakaiKachchhi	MakaiSolid	4Kachchhi	4Solid	KachchhiSolid	Makai4Kachchhi	Makai4Solid	4KachchhiSolid	Makai4KachchhiSolid	4K2
KM25L	Makai	Collection-5	Kachchhi	Liquid	Makai5	MakaiKachchhi	MakaiLiquid	5Kachchhi	5Liquid	KachchhiLiquid	Makai5Kachchhi	Makai5Liquid	5KachchhiLiquid	Makai5KachchhiLiquid	5K2
KM25S	Makai	Collection-5	Kachchhi	Solid	Makai5	MakaiKachchhi	MakaiSolid	5Kachchhi	5Solid	KachchhiSolid	Makai5Kachchhi	Makai5Solid	5KachchhiSolid	Makai5KachchhiSolid	5K2
