Class	BB14L	BB14S	BB15L	BB15S	BB24L	BB24S	BB25L	BB25S	BJ14L	BJ14S	BJ15L	BJ15S	BJ24L	BJ24S	BJ25L	BJ25S	BM14L	BM14S	BM15L	BM15S	BM24L	BM24S	BM25L	BM25S	KB14L	KB14S	KB15L	KB15S	KB24L	KB24S	KB25L	KB25S	KJ14L	KJ14S	KJ15L	KJ15S	KJ24L	KJ24S	KJ25L	KJ25S	KM14L	KM14S	KM15L	KM15S	KM24L	KM24S	KM25L	KM25S
K	37359.51	34931.22	33531.32	30692.12	35823.84	36366.67	35790.98	37546.64	33930.22	32776.45	37578.11	36506.77	37064.38	36979.84	36270.77	41257.03	36878.32	36543.5	39636.42	37812.12	38609.41	36574.37	37062.33	38654.19	35397.79	38525.68	36197.93	34118.14	36641.8	35431.13	34166.93	31327.57	36873.91	37175.94	36791.37	35692.03	38145.31	35840.09	36523.02	36375.17	34804.62	38730.26	39107.8	38884.43	37413.39	37253.19	38579.98	36469.66
KO	102.49	118.07	119.5	101.89	45.82	56.66	85.93	79.91	84.16	57.41	78.91	88.51	86.72	92.87	102.67	155.04	77.7	81.3	41.75	84.06	51.75	59.59	69.19	96.29	57.89	64.88	45.42	48.97	73.66	69.27	66.61	64.63	89.49	127.33	50.78	114.78	97.13	58.03	77.48	99.65	55.34	116.67	129.67	63.43	40.93	62.97	41.18	67.53
KT	1399.38	1541.65	1184.36	978.55	1458.4	1521.1	1282.92	1780.19	1274.56	1020.83	1294.29	1403.52	1397.64	1216.16	1434.61	1317.33	1227.32	1238.81	1381.9	1277.34	1369.53	1387.06	1385.35	1317.52	1513.79	1434.75	1472.53	1147.33	1546.88	1345.4	1482.14	1126.13	1365.23	1249.9	1453.32	1405.58	1258.52	1345.6	1226.8	1442.66	1342.64	1333.25	1141.17	1078.71	1354.34	1345.13	1372.19	1223.94
L	84759.96	82908.83	97109.96	72896.25	95668.86	81432.37	104216.57	87905.65	76297.61	70367.9	95132.68	80074	99360.83	83500.03	94657.25	86571.54	87557.69	78356.94	95222.12	80164.24	84653.96	85145.89	91219.98	82815.13	85200.21	85529.41	85607.23	70043.21	90145.97	84147.59	85467.25	71388.29	88478.33	82961.74	87757.85	81486.8	94730.66	81133.02	119364.6	80740.88	82351.93	80961.5	90399.27	76247.31	91504.12	81403.54	95990.2	72375.27
M	64323.5	66696.45	55510.39	48817.15	66296.68	64955.62	62674.57	63966.1	56005.15	57457.86	65410.98	62140.14	65779.5	65724.32	68216.88	56409.71	64159.24	65692.14	62801.09	62966.45	65103.55	66841.78	64943.37	58809.2	70629.27	64816.36	66850.33	51888.04	67176.75	67355.44	64384.86	50146.4	63339.91	61262.41	63143.29	63997.78	63002.53	60541.54	58075.74	62744.16	68994.34	63966.2	63678.29	53345.88	65174.42	66292.5	65166.33	55026.26
MU	95.73	132.28	107.29	247.32	105.72	130.13	100.71	74.53	141.1	138.46	98.72	61.49	61.73	78.61	63.47	132.89	126.19	120.71	112.01	76.35	140.61	165.02	107.7	88.77	78.39	90.54	94.65	97.39	86.64	96.1	93.97	197.59	165.52	138.87	119.26	172.24	102.57	231.24	131.87	212.65	100.67	83.67	162.47	173.23	106.06	118.13	91.36	87.62
N	2369.14	1600.44	1859.91	1359.57	2218.58	1714.39	2179.52	1226.75	2949.65	1606.22	2631.72	1678.54	1724.12	1576.89	1966.79	2020.17	2379.29	2195.96	2435.86	1687.1	2705.87	1933.68	2136.67	1917.65	1676.68	1783.74	1588.59	1905.17	1691.09	1473.85	1349.5	1261.48	3265.64	2294	2233.48	1839.04	2420.66	1954.7	2410.47	1684.88	1916.27	2341.23	2862.28	1779.58	2573.83	2211.54	3194.46	1960.57
NOU	63.2	101.4	54.42	70.42	68.08	83.61	64.47	113.99	100.67	25.81	126.22	55.93	72.28	55.63	65.24	48.67	101.85	78.25	56.12	67.23	90.12	66.62	78	99.66	65.07	54.47	44.57	65.89	47.9	84.96	53.95	79.95	117.67	91.33	55.14	106.64	116.14	113.55	82.67	92.08	41.79	51.41	97.41	69.13	87.87	69.19	100.03	37.22
NT	124.99	162.64	172.42	170.12	164.41	130.97	61.74	48.35	279.08	140.51	125.61	54.58	30.2	36.98	59.46	99.65	155.58	89.73	106.12	83.44	168.12	53.48	111.65	120.15	52.69	46.17	105.82	161.56	31.94	61.59	78.32	119.15	223.27	124.57	111.45	106.25	181.07	96.02	93.72	95.22	125.8	174.64	185.72	171.03	150	113.95	207.53	106.58
NU	826.68	883.19	1153.31	988.87	1087.43	941.22	1488.18	671.02	1106.08	752.85	1312.23	658.43	1177.46	897.02	1072.42	760.38	1033.36	846.46	1395.88	892.97	1060.05	810.98	1386.26	850.08	927.47	792.56	901.53	711.47	1058.31	794.94	1161.34	890.44	1223.53	994.99	1199.09	1062.32	1165.46	855.92	1775.05	931.95	803.12	802.65	1139.32	730.83	1292.66	994.87	1864.73	852
O	32026.67	32868.39	29663.02	29401.7	32528.41	35305.54	31273.83	33246.67	28716.91	29839.7	32044.41	32519.92	32466.35	32100.7	31606.4	31450.07	31376.24	31252.93	30768.8	32925.61	31073.87	32665.72	32463.97	34893.36	33781.95	32476.01	33104.94	41838.76	33055.17	33328.96	34995.82	31292.25	31343.48	31553.66	32183.84	33528.04	30718.09	34026.02	28753.67	33622.12	32967.32	31845.55	31648.39	36659.42	31165.75	31651.67	30685.93	38150.66
OT	19.72	37.49	35.92	69.43	8.89	70.74	31.95	6.34	36.01	30.14	8.37	7.66	0	0	5.77	10.43	29.76	21.02	19.98	0	30.66	13.13	24.99	8.21	4.73	11.85	24.08	19.71	5.02	101.19	9.58	34.43	70.99	32.69	45.85	72.51	26.1	47.8	17.66	32.94	15.94	5.24	15.25	16.61	9.37	5.67	22.05	3.59
OU	505.5	565.34	556.78	442.32	451.82	519.15	450.85	438.62	484.73	523.48	475.75	477.7	502.95	526.94	559.61	338.8	506.41	485.54	421.23	466.99	433.13	579.52	543.92	499.7	496.39	510.95	557.18	349.3	541.21	584.16	578.15	506.65	522.28	478.04	450.62	534.82	461.86	455.72	438.77	477.48	627.23	412.37	415.06	358.02	466.4	475.36	376.34	463.7
P	44284.68	45372.21	37602.05	37593.99	38907.68	43825.69	36081.23	45740.68	38276.71	39951.23	38287.01	46140.06	39370.94	42910.62	38986.39	45554.27	41987.25	44381.04	38314.34	45023.19	42554.11	44317.63	40292.52	42691.62	42439.3	43432.73	44848.09	40759.66	42152.62	44458.41	40288.59	37644.17	43785.1	43411.42	41253.96	46389.72	39638.91	43491.48	29831.31	47318.39	44214.97	44803.51	39919.14	41327.45	39676.18	44777.6	38457.86	42098.02
PQ	1.13	10.23	0	7.36	0	0	6.07	6.66	12.77	11.61	0	7.86	0	0	0	5.18	2.14	14.19	2.99	5.49	0	8.1	0	8.27	0	0	10.07	13.13	1.61	11.13	0	0	5.62	0	6.15	0	3.59	0	0	2.08	5.55	6.97	2.61	0	6.48	24.7	0	27.64
Q	5754.75	5730.79	4897.18	4998.41	5105.24	6008.52	4589.61	5618.08	6481.78	5305.68	5253.55	6168.57	4819.58	5948.05	5145.32	6829	6299.51	6824.5	5638.68	5752.97	6161.18	6005.82	5999.53	5954.96	6060.62	6246.52	6079.13	5467.95	5390.12	5791.84	5412.79	4701.06	6645.44	6428.17	6006.05	6440.72	5498.68	6134.05	4510.53	6285.86	5771.79	6403.34	6476.83	6174.7	5769.9	6612.77	5875.81	5548.47
S	310472.29	311866.1	360322.01	394241.76	334215.13	312099.82	345109.59	310687.32	347791.21	373290.6	327941.82	311489.84	339353.45	329711.69	340545.18	299746.26	320854.11	321308.02	336390.07	309572.44	314519.8	307804.34	323123.11	302729.99	322016.2	314577.14	320812.9	296788.74	320370.68	317382.99	337677.29	384757.63	305630.98	314880.11	324710.36	303816.83	327595.55	312650.64	379633.72	302836.53	317078.86	312638.94	318760.42	311888.85	328463.36	308271.99	330949.71	305766.81
T	25496.91	23685.43	22732.91	24370.65	23999.6	26854.21	21623.65	26553.13	24676.03	20990.68	24675.91	29242.36	22765.43	24105.37	23603.32	28452.3	26546.61	26179.13	28186.26	30767.08	29641.43	23873.33	27192.2	35318.71	27530.81	26256.82	28806.54	56138.78	26970.61	23916.12	27646.42	28597.73	28314.46	26449.85	24331.99	25399.24	23958.13	30204.29	18927.06	26633.78	28093.95	28589.83	27639.87	41622.52	27263.59	26534.42	26706.51	45335.72
U	12586.24	12089.51	11771.45	14788.82	11631.93	12773.28	11661.78	11823.2	12856.55	12854.89	11965.6	12705.44	11533.92	11914.89	11761.97	11265.76	11506.95	12077.19	11222.89	12600.33	11775.75	12294.1	11869.7	13662.75	11246.95	11918.15	10997.15	15857.81	11579.88	12271.2	12431.09	14488.08	12293.99	12267.56	11930.97	12441.27	12423.44	13543.46	10231.54	12745.13	12061.82	11764.6	11760.16	14311.61	11930.29	12604	11819.22	14845.81
UW	33.34	393.64	272.3	931.01	53.27	236.88	103.96	60.93	47.24	242.14	34.02	95.41	10.46	55.25	6.23	67.24	51.73	181.73	21.14	45.96	42.1	308.8	10.41	93.17	14.14	130.9	15.2	60.73	26.87	189.85	294.1	593.32	219.37	208.77	190.07	538.14	93.87	347.11	140.64	335.03	24.35	70.07	26.03	67.42	34.14	118.49	51.3	52.65
V	24099.6	24037.8	21589.71	18786.55	22977.71	25026.6	22480.23	23806.48	21804.49	21512.02	23495	24752.25	21186.81	24723.1	22393.32	27879.88	24577.89	25188.5	24447.6	25878.57	24080.9	26083.31	22659.61	26276.75	21598.7	25087.15	22058.94	22880.94	22295.56	24914.71	21645.03	19309.16	25005.09	25617.66	23770.08	24353.97	23209.88	24772.03	22638.53	24261.96	22336.93	26683.43	25324.77	26047.5	24153.18	25954.09	22918.23	25010.05
Y	0	0	7.92	24.68	3.3	19.31	5.78	4.67	0	0	0	4.61	7.32	0	0	0	0	0	9.07	9.94	4.55	2.79	0	31.04	2.73	8.63	6.8	60.41	0	0	14.93	19.7	0	3.6	11.28	2.44	0	20.13	3.86	3.24	1.56	7.89	0	8.42	0	0	0	53.13
Z	46.86	134.28	900.79	2881.69	406.99	1459.75	440.7	579.65	1064.47	1482.61	105.04	1105.23	385.99	680.82	447.29	542.08	73.69	277.93	820.27	1908.94	356.03	211.86	162.26	3215.1	470.3	411.6	303.78	10139.41	81.27	344.82	1949.79	3518.46	55.44	558.73	474.45	542.74	139.73	2470.11	572.66	672.02	230.42	388.45	175.9	4899.79	291.55	199.46	176.66	6818.39
